Account ID,Account Owner,Account Owner ID,Rating,Account Name,Phone,Fax,Parent Account,Parent Account ID,Website,Ticker Symbol,Account Type,Ownership,Industry,Employees,Annual Revenue,SIC Code,Created By,Created by ID,Modified By,Modified by ID,Created Time,Modified Time,Last Activity Time,Account Number,Account Site,Tag,Billing Street,Shipping Street,Billing City,Shipping City,Billing State,Shipping State,Billing Code,Shipping Code,Billing Country,Shipping Country,Description
zcrm_94654000000135099,anirudh,zcrm_94654000000132001,,Benton (Sample),555-555-5555,,,,http://bentonus.com/,,Analyst,Privately Held,Technology,50,100000,,anirudh,zcrm_94654000000132001,anirudh,zcrm_94654000000132001,2020-05-02 23:54:47,2020-05-02 23:55:20,2020-05-02 23:55:20,0,,,6649 N Blue Gum St,,New Orleans,,LA,,70116,,United States,,Benton is a privately held technology company with 50 employees with an annual revenue of 100000 USD.
zcrm_94654000000135100,anirudh,zcrm_94654000000132001,,Chanay (Sample),555-555-5555,,,,http://chanayus.com/,,Competitor,Government,Government/Military,2500,200000,,anirudh,zcrm_94654000000132001,anirudh,zcrm_94654000000132001,2020-05-02 23:54:47,2020-05-02 23:55:21,2020-05-02 23:55:21,0,,,4 B Blue Ridge Blvd,,Brighton,,MI,,48116,,United States,,Chanay is a government owned organisation with 2500 employees. It consists of the Navy and Coast Guard units.
zcrm_94654000000135101,anirudh,zcrm_94654000000132001,,Chemel (Sample),555-555-5555,,,,http://chemelus.com/,,Distributor,Public Company,Communications,1200,830000,,anirudh,zcrm_94654000000132001,anirudh,zcrm_94654000000132001,2020-05-02 23:54:47,2020-05-02 23:55:21,2020-05-02 23:55:21,0,,,8 W Cerritos Ave #54,,Bridgeport,,NJ,,8014,,United States,,Chemel is a public owned communications company with an annual revenue of 830000 USD and about 1200 employees.
zcrm_94654000000135102,anirudh,zcrm_94654000000132001,,Feltz Printing Service (Sample),555-555-5555,,,,http://feltzprinting.com/,,Integrator,Privately Held,Manufacturing,3500,170000,,anirudh,zcrm_94654000000132001,anirudh,zcrm_94654000000132001,2020-05-02 23:54:47,2020-05-02 23:55:21,2020-05-02 23:55:21,0,,,639 Main St,,Anchorage,,AK,,99501,,United States,,"Feltz Printing Service is a privately-held manufacturing company based out of Anchorage, Alaska."
zcrm_94654000000135103,anirudh,zcrm_94654000000132001,,Printing Dimensions (Sample),555-555-5555,,,,http://printingdimensions.com,,Investor,Privately Held,Real Estate,80,270000,,anirudh,zcrm_94654000000132001,anirudh,zcrm_94654000000132001,2020-05-02 23:54:47,2020-05-02 23:55:21,2020-05-02 23:55:21,0,,,34 Center St,,Hamilton,,OH,,45011,,United States,,"Printing Dimensions is a privately-held real estate developer based in Hamilton, Ohio."
zcrm_94654000000135104,anirudh,zcrm_94654000000132001,,Chapman (Sample),555-555-5555,,,,http://chapmanus.com/,,Other,Privately Held,Consulting,2000,230000,,anirudh,zcrm_94654000000132001,anirudh,zcrm_94654000000132001,2020-05-02 23:54:47,2020-05-02 23:55:22,2020-05-02 23:55:22,0,,,3 Mcauley Dr,,Ashland,,OH,,44805,,United States,,"Founded in 1996 and headquartered in Ashland, Ohio. They operate from 10 locations across the country."
zcrm_94654000000135105,anirudh,zcrm_94654000000132001,,Morlong Associates (Sample),555-555-5555,,,,http://morlongassociates.com/,,Partner,Privately Held,Financial Services,300,190000,,anirudh,zcrm_94654000000132001,anirudh,zcrm_94654000000132001,2020-05-02 23:54:47,2020-05-02 23:55:22,2020-05-02 23:55:22,0,,,7 Eads St,,Chicago,,IL,,60632,,United States,,Morlong Associates is an American investment management firm founded in 1995.
zcrm_94654000000135106,anirudh,zcrm_94654000000132001,,Commercial Press (Sample),555-555-5555,,,,http://commercialpress.com/,,Reseller,Privately Held,Education,456,650000,,anirudh,zcrm_94654000000132001,anirudh,zcrm_94654000000132001,2020-05-02 23:54:47,2020-05-02 23:55:22,2020-05-02 23:55:22,0,,,7 W Jackson Blvd,,San Jose,,CA,,95111,,United States,,Commercial Press is an American owned reseller of renowned authors across the education sector.
zcrm_94654000000135107,anirudh,zcrm_94654000000132001,,Truhlar And Truhlar (Sample),555-555-5555,,,,http://truhlarandtruhlartech.com/,,Supplier,Privately Held,Technology,23,200000,,anirudh,zcrm_94654000000132001,anirudh,zcrm_94654000000132001,2020-05-02 23:54:47,2020-05-02 23:55:22,2020-05-02 23:55:22,0,,,5 Boston Ave #88,,Sioux Falls,,SD,,57105,,United States,,Truhlar and Truhlar is a technology supplier of noise reduction systems and audio encoding / compression.
zcrm_94654000000135108,anirudh,zcrm_94654000000132001,,King (Sample),555-555-5555,,,,http://kingmanufacturing.com,,Vendor,Partnership,Manufacturing,445,850000,,anirudh,zcrm_94654000000132001,anirudh,zcrm_94654000000132001,2020-05-02 23:54:47,2020-05-02 23:55:22,2020-05-02 23:55:22,0,,,228 Runamuck Pl #2808,,Baltimore,,MD,,21224,,United States,,"King is a multinational electronics contract manufacturing company with its headquarters in Baltimore, United States."
